Ranking,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage
11,2018,Real Sociedad,50,23,20,24.48,180.87,75.13,73.84,9283870,23161
12,2018,SD Eibar,47,31,21,26.03,182.24,74.83,73.41,6239655,16724
13,2018,CD Leganés,45,19,16,26.55,180.48,74.28,72.66,4918965,19897
14,2018,Villarreal CF,44,28,26,24.76,181.33,74.0,73.36,9173484,27576
15,2018,Levante UD,44,34,34,23.91,181.44,74.09,70.75,4327812,15062
16,2018,RC Celta Vigo,41,31,25,23.65,179.71,73.84,71.77,6351612,15839
17,2018,Real Valladolid CF,41,16,26,24.47,180.0,73.87,68.23,2065833,5967
18,2018,Girona FC,37,17,28,24.52,181.79,74.21,71.48,4302758,24379
19,2018,SD Huesca,33,24,30,25.46,181.46,75.96,66.96,1148214,4571
20,2018,Rayo Vallecano,32,25,32,27.31,179.62,72.62,70.1,2256206,10724
1,2017,FC Barcelona,93,53,11,23.88,180.5,74.91,77.81,21955468,79688
2,2017,Atlético Madrid,79,30,8,25.1,181.28,74.07,77.45,17008448,63862
3,2017,Real Madrid,76,54,20,24.09,180.79,74.79,78.55,23399242,82848
4,2017,Valencia CF,73,36,16,23.65,180.39,73.81,74.35,8198387,42484
5,2017,Villarreal CF,61,35,22,25.15,180.09,73.39,75.27,8878787,47424
6,2017,Real Betis,60,35,31,24.82,179.57,73.07,73.39,5235714,6357
7,2017,Sevilla FC,58,31,22,25.74,181.7,75.96,77.52,11730370,61333
8,2017,Getafe CF,55,26,13,27.22,180.0,74.74,70.26,1756296,4778
9,2017,Girona FC,51,26,22,25.41,182.41,75.59,68.3,1452962,3407
10,2017,SD Eibar,51,26,19,25.23,181.27,74.5,72.81,4115769,9538
11,2017,RC Celta Vigo,49,34,23,23.97,179.24,73.45,73.36,6278030,17788
12,2017,Real Sociedad,49,47,29,24.45,181.73,75.06,72.7,5855606,8758
13,2017,RCD Espanyol,49,20,16,25.96,181.39,75.54,74.07,5338392,10036
14,2017,Deportivo Alavés,47,21,23,24.07,181.97,73.57,71.1,3161666,6433
15,2017,Levante UD,46,25,28,24.54,180.11,73.93,70.39,2571071,5036
16,2017,CD Leganés,43,19,19,24.76,179.04,73.04,71.96,3213200,6920
17,2017,Athletic Club Bilbao,43,19,16,25.27,182.2,77.03,75.1,7937500,45200
18,2017,RCD La Coruña,29,22,33,25.36,179.73,73.42,72.12,4109090,9697
19,2017,UD Las Palmas,22,15,38,25.38,178.62,72.47,72.0,4261875,7844
20,2017,Málaga CF,20,14,27,24.69,180.9,73.38,72.55,5250517,8069
1,2016,Real Madrid,93,48,20,23.81,181.42,75.03,77.13,19692741,106581
2,2016,FC Barcelona,90,64,17,24.97,179.1,74.1,78.59,20170689,120724
3,2016,Atlético Madrid,78,40,14,24.88,181.48,74.16,76.92,12458000,82960
4,2016,Sevilla FC,72,39,16,25.47,181.16,76.06,74.66,8131875,60281
